,Name,Salary,Pos,Team,Avg,STS,OWN,USG,MIN,PTS,TPM,AST,REB,BLK,STL,TOV,KJD,FP
45,Leonardo Mainoldi,2000,SF,ARG,3.875,0,0,13.8,5.68,2.25,0.75,0.25,0.5,0.25,0,0.5,1.13,3.280465284
46,Luis Scola,8000,PF,ARG,29.9,1,46.8,21.3,30.16,14.8,1.6,1.8,8,0.2,0.6,2.2,7.93,32.03755693
47,Luka Babic,3000,SF,CRO,17.45,0,8,13.1,18.88,5.8,0.6,2.8,4.2,0.2,0.8,0.2,7.93,13.26805924
48,Mantas Kalnietis,8600,PG,LTU,37.25,1,56.4,22.3,31.28,19.2,2.2,8,2.6,0.4,0.8,2.8,16.1,30.17331066
49,Manu Ginobili,7300,SG,ARG,26.75,1,25.8,24.1,28.8,15.2,1.8,2.8,3,0.4,1,0.2,9.3,31.53292831
50,Marcos Delia,2000,C,ARG,7.45,0,0,9.9,11.44,2.2,0,0.6,3,0.2,0.2,0.4,2.53,7.838290334
51,Mario Hezonja,4600,SF,CRO,14.2,0.4,13.4,15.2,21.2,7.6,2,1.2,2.4,0.2,0.4,0.8,4.47,14.2461646
52,Marius Grigonis,2600,SF,LTU,8.4,0.2,0.2,14.1,20.64,3,0.2,1.2,1.6,0,0.8,0.2,2.23,9.874868266
53,Marko Simonovic,2600,SF,SRB,12.063,0,4.25,13.7,14.56,6.5,0.75,0.5,1.25,0.5,1,0.25,5.17,10.41565963
54,Matthew Dellavedova,8200,PG,AUS,27.2,1,47.4,15.1,20.08,9.4,0.6,8.6,2,0,1,1,8.9,19.38139501
55,Mickael Gelabale,3100,SF,FRA,11.15,0,5.2,16.8,12.08,6.8,0.6,0.8,1.8,0.2,0.2,0.4,3.5,8.344269531
56,Milan Macvan,2900,PF,SRB,11.35,0.4,2.8,17.9,9.44,5.2,0.4,1.6,2.6,0,0.2,0.2,4.3,7.766355402
57,Milos Teodosic,6100,SG,SRB,22.1,0.2,22.4,25.8,25.6,11.4,2.2,5,2,0,0.6,3.2,9.57,23.67515218
58,Mindaugas Kuzminskas,5000,SF,LTU,19.65,0,20.8,23.4,23.04,11.8,1.4,1.4,4.2,0.2,0,1.2,8.17,19.07946335
59,Miro Bilan,2600,C,CRO,9.7,1,0.4,18.7,18.56,6.2,0,0.2,2.4,0,0.4,1.2,2.83,10.48670047
60,Miroslav Raduljica,6000,C,SRB,24.9,0.6,31.6,30.6,17.04,17.6,0,1.4,2.8,0.8,0.2,0.6,9.4,20.53097662
61,Nando De Colo,6800,SG,FRA,24.75,1,27,26.3,22.56,15,0.8,2.6,2.6,0,1.6,2,13.2,24.76424303
62,Nemanja Nedovic,3200,PG,SRB,13.9,0.2,7,22.4,13.36,6,1.2,2.2,1.6,0.4,1,1.6,3.7,11.61067364
63,Nicolas Batum,6600,SF,FRA,17.75,1,22.2,17.3,23.52,8.4,1.4,2.2,3.4,0.2,0.8,1.8,6.87,17.97415555
64,Nicolas Brussino,2000,SG,ARG,5.5,0,0.5,16.7,7.92,2,0,0,2,0.5,0,0,0.8,6.378571426
65,Nicolas Laprovittola,4000,PG,ARG,16.7,0.4,3,25.6,17.28,8.8,1.2,2.8,1.6,0,1,1.8,3.03,15.35070379
