"","Name","Salary","Pos","Team","Avg","STS","MIN","USG","FIC","FP","OWN","PTS","TPM","AST","STL","BLK","TOV","LU"
"41","Nikola Jokic",6500,"C","SRB",23,0.4,23.6,"19.5",10.4,24.4763716512,14.8,9.2,0.4,2.4,1,0.6,1.4,6
"42","Andres Nocioni",6700,"PF","ARG",28.55,0.8,34.48,"22.5",10.8,29.6157807204,19.8,15.6,2.4,0.4,1.4,0.8,2.6,6
"43","Facundo Campazzo",6900,"PG","ARG",33.25,0.6,30,"26.5",11.4,34.25404335,45,16.4,2.8,5.2,2.6,0,2.4,6
"44","Kyrie Irving",7500,"PG","USA",25.3,1,26.56,"19.6",13,28.39788092544,17.8,12.6,1.6,6,0.6,0,1.2,6
"45","Luka Babic",3000,"SF","CRO",17.45,0,18.88,"13.1",7.93,17.47371848,8,5.8,0.6,2.8,0.8,0.2,0.2,6
"46","Nikola Kalinic",2800,"SF","SRB",12.75,0.8,17.6,"13.5",7.5,12.892256256,1.4,4.8,0.2,1.4,1.2,0,0.8,6
"47","Bojan Bogdanovic",9300,"SG","CRO",34.65,1,36,"30.6",13.6,35.920701648,53.4,24.8,2.8,2,0.6,0.4,3.6,6
"48","Manu Ginobili",7300,"SG","ARG",26.75,1,28.8,"24.1",9.3,30.9577484736,25.8,15.2,1.8,2.8,1,0.4,0.2,6
"49","Miroslav Raduljica",6000,"C","SRB",24.9,0.6,17.04,"30.6",9.4,23.63142769296,31.6,17.6,0,1.4,0.2,0.8,0.6,7
"50","Carmelo Anthony",8400,"PF","USA",28.15,1,28.72,"21.4",12.7,30.16409108456,17.2,15.2,3,2.4,0.8,0.2,0.8,7
"51","Facundo Campazzo",6900,"PG","ARG",33.25,0.6,30,"26.5",11.4,34.25404335,45,16.4,2.8,5.2,2.6,0,2.4,7
"52","Kyrie Irving",7500,"PG","USA",25.3,1,26.56,"19.6",13,28.39788092544,17.8,12.6,1.6,6,0.6,0,1.2,7
"53","Luka Babic",3000,"SF","CRO",17.45,0,18.88,"13.1",7.93,17.47371848,8,5.8,0.6,2.8,0.8,0.2,0.2,7
"54","Nikola Kalinic",2800,"SF","SRB",12.75,0.8,17.6,"13.5",7.5,12.892256256,1.4,4.8,0.2,1.4,1.2,0,0.8,7
"55","Bojan Bogdanovic",9300,"SG","CRO",34.65,1,36,"30.6",13.6,35.920701648,53.4,24.8,2.8,2,0.6,0.4,3.6,7
"56","Krunoslav Simon",5800,"SG","CRO",24.3,0.6,25.28,"23.0",8.37,23.41091602048,18.2,9,1.4,4.2,0.8,0,2.2,7
"57","Miroslav Raduljica",6000,"C","SRB",24.9,0.6,17.04,"30.6",9.4,23.63142769296,31.6,17.6,0,1.4,0.2,0.8,0.6,8
"58","Andres Nocioni",6700,"PF","ARG",28.55,0.8,34.48,"22.5",10.8,29.6157807204,19.8,15.6,2.4,0.4,1.4,0.8,2.6,8
"59","Carmelo Anthony",8400,"PF","USA",28.15,1,28.72,"21.4",12.7,30.16409108456,17.2,15.2,3,2.4,0.8,0.2,0.8,8
"60","Kyrie Irving",7500,"PG","USA",25.3,1,26.56,"19.6",13,28.39788092544,17.8,12.6,1.6,6,0.6,0,1.2,8
"61","Luka Babic",3000,"SF","CRO",17.45,0,18.88,"13.1",7.93,17.47371848,8,5.8,0.6,2.8,0.8,0.2,0.2,8
"62","Nikola Kalinic",2800,"SF","SRB",12.75,0.8,17.6,"13.5",7.5,12.892256256,1.4,4.8,0.2,1.4,1.2,0,0.8,8
"63","Bojan Bogdanovic",9300,"SG","CRO",34.65,1,36,"30.6",13.6,35.920701648,53.4,24.8,2.8,2,0.6,0.4,3.6,8
"64","Krunoslav Simon",5800,"SG","CRO",24.3,0.6,25.28,"23.0",8.37,23.41091602048,18.2,9,1.4,4.2,0.8,0,2.2,8
"65","Miroslav Raduljica",6000,"C","SRB",24.9,0.6,17.04,"30.6",9.4,23.63142769296,31.6,17.6,0,1.4,0.2,0.8,0.6,9
"66","Nikola Jokic",6500,"C","SRB",23,0.4,23.6,"19.5",10.4,24.4763716512,14.8,9.2,0.4,2.4,1,0.6,1.4,9
"67","Carmelo Anthony",8400,"PF","USA",28.15,1,28.72,"21.4",12.7,30.16409108456,17.2,15.2,3,2.4,0.8,0.2,0.8,9
"68","Facundo Campazzo",6900,"PG","ARG",33.25,0.6,30,"26.5",11.4,34.25404335,45,16.4,2.8,5.2,2.6,0,2.4,9
"69","Kyrie Irving",7500,"PG","USA",25.3,1,26.56,"19.6",13,28.39788092544,17.8,12.6,1.6,6,0.6,0,1.2,9
